ano,sigla_uf,id_municipio,ibc,cobertura_pop_4g5g,fibra,densidade_smp,hhi_smp,densidade_scm,hhi_scm,adensamento_estacoes
2021,GO,5213400,22.51,49.3753,0,38.62,14,0.67,59,17.47
2021,GO,5216452,34.46,75.5685,0,71.68,40,1.05,37,24.43
2024,RO,1100049,59.87,82.1237,100,63.77,56,60.32,78,13.83
2024,RO,1100502,35.85,26.0962,50,32.38,17,63.15,47,18.62
2024,AC,1200013,45.05,52.9765,100,54.98,56,4.13,74,13.65
2024,AM,1300631,20.59,50.7595,0,36.01,6,3.29,65,15.81
2024,AM,1303007,21,50.3673,0,34.36,27,7.4,37,18.95
2024,PA,1501600,29.93,63.7905,0,38.15,49,5.25,28,11.54
2024,PA,1503804,50.13,90.1559,100,59.16,37,14.61,62,9.12
2024,TO,1703206,26.37,49.9285,0,45.57,7,13.03,52,23.17
2024,MA,2100501,23.51,64.9824,0,32.68,4,12.39,65,13.18
2024,MA,2104057,51.98,75.4466,100,59.38,64,23.79,82,11.64
2024,MA,2105005,29.47,46.2411,50,29.3,41,10.12,64,5.65
2024,MA,2110203,47.62,66.8972,100,44.86,48,8.91,50,11.7
2024,MA,2111532,35.85,89.9443,50,35.03,38,8.3,20,6.79
2024,MA,2112308,35.92,61.845,50,32.13,36,2.51,74,21.39
2024,PI,2200251,25.99,59.3147,0,35.83,4,10.47,43,21.74
2024,PI,2200954,35.28,53.7464,50,26.08,5,3.52,34,36.15
2024,PI,2201408,53.47,96.4101,100,24.85,22,1,70,14.83
2024,PI,2202737,44.91,58.216,100,44.19,18,12.52,28,35.44
2024,PI,2204808,48.05,68.9366,100,26.84,60,11.98,62,15.59
2024,PI,2210938,54.53,71.4968,100,20.58,54,34.2,56,23.64
2024,CE,2301851,50.19,69.1904,100,49.15,48,18.93,33,22.66
2024,CE,2303808,67.01,90.4979,100,45.56,67,31.94,64,39.69
2024,CE,2310951,52.07,96.8736,50,13.77,57,7.78,51,45.65
2024,RN,2401909,57.94,90.5927,50,50.13,56,27.31,35,59.54
2024,RN,2406601,45.28,95.3736,0,54.13,50,20.59,39,17.4
2024,PB,2500809,43.6,73.1493,50,35.33,40,2.6,66,11.76
2024,PB,2501005,35.63,77.7751,0,43.59,49,17.49,8,8.6
2024,PB,2501708,27.53,51.1376,0,24.76,12,0.45,75,32.78
2024,PB,2509057,35.77,78.3295,0,30.98,3,0.69,57,15.9
2024,PB,2513158,29.36,57.1709,0,45.22,0,1.12,64,18.68
2024,PB,2514701,36.39,79.4585,0,42.28,25,39.29,11,35.13
2024,PE,2605301,45.74,57.0676,100,40.62,55,2.02,75,13.46
2024,PE,2606101,49.61,95.3305,50,42.73,62,3.47,27,9.88
2024,PE,2610400,43.88,56.0978,100,35.75,50,8.32,57,23.65
2024,PE,2610608,64.9,97.3223,100,50.97,66,15.5,72,14.25
2024,PE,2611903,63.59,92.3695,100,54,65,30.54,24,21.99
2024,PE,2615706,40.61,68.7888,0,48.89,65,0.33,71,16.51
2024,AL,2700904,16.67,36.7906,0,21.84,10,0.08,23,16.95
2024,AL,2702900,36.42,51.0549,50,34.53,51,6.76,44,13.39
2024,SE,2804409,34.49,77.1045,0,40.75,34,0.41,68,15.1
2024,SE,2804706,43.94,90.9265,0,58.06,1,20.81,52,15.62
2024,BA,2909802,63.78,99.0845,100,72.66,61,21.24,9,8.7
2024,BA,2910750,48.54,91.6466,50,42.9,9,27.48,60,10.83
2024,BA,2910800,66.37,98.3485,100,69.4,67,20.03,92,20.21
2024,BA,2913309,38.03,81.59,0,44.29,1,11.34,55,15.59
2024,BA,2916401,51.84,97.6225,100,55.42,64,8.98,55,8
2024,BA,2919553,63.95,96.7552,100,80.41,31,53.08,80,23.14
2024,BA,2921054,21.53,43.6061,0,39.26,33,10.25,14,14.11
2024,BA,2928059,23.06,67.3638,0,30.41,26,1.18,22,13.91
2024,BA,2931301,35.77,84.3288,0,42.77,54,5.52,56,15.38
2024,BA,2931509,48.63,86.9717,50,40.61,48,3.6,67,13.74
2024,MG,3104452,31.07,57.3363,0,7.04,51,15.09,16,31.12
2024,MG,3115300,71.57,98.7611,100,56.72,46,57.29,76,22.1
2024,MG,3116803,31.42,51.8343,0,41.34,42,7.24,55,18.18
2024,MG,3121100,31.57,53.9659,0,30.88,6,40.13,56,18.45
2024,MG,3121506,56.91,77.5822,50,58.69,63,34.57,9,49.04
2024,MG,3129004,46.82,88.0607,0,56.93,34,34.04,11,38.22
2024,MG,3129400,42.47,79.402,0,44.08,50,41.99,35,28.12
2024,MG,3131208,61.9,86.988,100,58.24,51,43.33,69,12.44
2024,MG,3131604,61.44,86.3541,100,55.94,14,43.24,63,40.41
2024,MG,3131703,71.77,96.1218,100,69.24,57,73.46,60,28.03
2024,MG,3134806,45.76,73.3701,50,51.28,5,40.81,49,26.1
2024,MG,3144300,38.64,91.6521,0,63.35,64,22.97,19,12.66
2024,MG,3148509,38.17,70.9113,50,31.55,40,4.81,53,24.49
2024,MG,3152131,31.99,76.482,0,48.26,12,7.75,57,26.27
2024,MG,3152808,53.88,79.4716,100,36.57,61,44.41,57,32.12
2024,MG,3154457,26.78,60.3777,0,49.49,2,2.39,72,21.77
2024,MG,3165909,38.06,54.6379,50,40.21,3,30.67,40,24.78
2024,MG,3166501,51.19,57.4604,100,46.92,14,11.62,61,39.17
2024,MG,3170909,43.98,78.7023,50,48.2,47,8.55,19,23.42
2024,ES,3204708,61.71,89.7467,100,58.33,15,26.34,65,20.46
2024,ES,3205010,70.12,97.9022,100,69.03,17,41.75,68,33.39
2024,RJ,3300209,74.03,97.8969,100,75.02,64,72.5,72,30.85
2024,RJ,3303856,67.51,89.4822,100,60.16,41,49.23,45,33.5
2024,SP,3503307,77.25,99.2377,100,67.5,56,82.32,81,20.69
2024,SP,3513900,69.53,90.214,100,66.91,41,46.14,58,30.94
2024,SP,3516903,56.69,97.2223,50,50.52,33,23.21,62,43.07
2024,SP,3518602,64.03,99.3963,100,63.39,43,33.61,60,12.95
2024,SP,3518701,83.28,99.9254,100,74.7,61,97.97,76,36.44
2024,SP,3529302,70.75,99.8529,100,69.27,52,36.71,69,25.93
2024,SP,3531001,66.98,97.0976,50,67.55,49,23.03,40,100
2024,SP,3532827,62.45,91.5227,100,69.27,12,6.11,44,63.72
2024,SP,3540309,76.88,95.9543,100,82.18,42,23.91,73,82.82
2024,SP,3542008,56.1,95.969,100,59.7,26,23.74,65,27.68
2024,SP,3550605,79.07,99.0615,100,78.02,50,65.51,76,42.41
2024,PR,4103057,63.05,85.2492,100,65.83,57,7.56,50,31.12
2024,PR,4104600,59.58,89.8683,100,40.72,55,32.29,38,16.9
2024,PR,4104709,64.62,90.5413,100,60.18,61,28.18,65,19.92
2024,PR,4107603,57.59,85.8836,100,27.93,65,38.36,62,21.06
2024,PR,4110078,64.56,91.4259,100,46.79,59,29.51,56,27
2024,PR,4111902,64.75,92.5048,100,62.2,53,51.32,53,12.72
2024,PR,4112900,52.1,79.7968,50,52.09,13,31.94,47,59.42
2024,PR,4121307,74.28,96.0068,50,86.91,50,95.04,53,42.84
2024,PR,4121505,46.87,64.7723,50,56.52,46,32.13,62,16.94
2024,PR,4125704,61.13,88.1919,100,34.65,68,44.13,79,18.21
2024,SC,4202156,63.63,77.4596,100,64.06,46,32.12,52,36.91
2024,SC,4204707,70.23,82.154,100,63.22,65,60.69,61,22.31
2024,SC,4207684,55.86,54.5822,100,43.63,25,15.57,66,31.07
2024,SC,4212809,78.78,98.4587,100,63.75,49,100,52,33.64
2024,SC,4212908,70.91,94.786,100,57.49,60,62.16,65,12.83
2024,RS,4306353,43.92,50.0797,50,54.87,1,12.97,18,58.96
2024,RS,4307104,45.57,69.4205,50,57.91,50,16.29,54,47.57
2024,RS,4307831,35.99,68.2928,0,47.65,32,49.26,21,37.24
2024,RS,4310009,64.98,87.3766,100,58.61,52,86.36,36,18.11
2024,RS,4312807,61.94,91.1404,50,70.87,40,55.89,57,29.49
2024,RS,4317806,58.65,91.0355,100,58.64,31,40.22,72,14.09
2024,RS,4318465,61.6,66.9346,50,70.53,49,0.39,65,100
2024,RS,4320800,60.01,85.7603,100,55.04,56,61.12,68,12.93
2024,RS,4322558,48.89,69.8028,50,40.22,31,21.49,19,48.85
2024,MS,5005400,51.11,82.3511,100,55.45,43,29.92,73,12.62
2024,MS,5005608,40.64,81.5053,50,56.23,39,5.97,85,13.21
2024,MT,5103205,55.58,81.6536,100,66.14,37,43.76,79,10.93
2024,MT,5105507,29.81,39.2766,50,29.62,38,15.6,63,14.38
2024,MT,5107883,35.66,62.0516,50,9.54,43,5.92,61,52.6
2024,MT,5108006,55.73,69.3459,100,64.78,50,38.27,72,26.19
2024,MT,5108907,35.53,57.5879,0,53.13,38,22.77,76,51.95
2024,GO,5201504,50.69,70.7479,100,58.01,45,6.29,68,44.92
2024,GO,5204003,47.73,83.2958,50,57.82,11,43.21,26,58.61
2024,GO,5204904,57.01,89.0924,100,75.9,56,9.28,64,16.43
2024,GO,5207535,24.82,54.2792,0,40.66,3,1.68,64,20.94
2024,GO,5209408,23.52,48.954,0,33.41,3,1.1,72,24.35
2024,GO,5210000,64.79,95.807,100,58.25,57,52.5,52,19.58
2024,GO,5214051,35.47,59.581,50,49.43,31,2.01,64,24.1
2024,GO,5221601,64.95,93.656,100,69.75,66,44.3,73,28.31
2023,RO,1100015,53.15,66.7536,100,68.83,67,7.88,41,5.81
2023,RO,1101492,47.5,53.9226,100,68.37,19,13.08,12,7.67
2023,PA,1501006,19.82,40.9947,0,18.94,61,0.29,77,6.83
2023,PA,1502509,12.41,9.2291,0,18.07,32,1.2,84,2.01
2023,PA,1504307,43.01,67.1243,100,39.68,4,2.72,43,5.65
2023,TO,1705557,33.29,93.7457,0,70.4,2,0.61,43,8.76
2023,MA,2100550,34.38,85.3343,0,66.34,39,0.2,69,5.81
2023,MA,2101202,58.91,83.6202,100,65.47,94,7.39,77,4.62
2023,MA,2104602,26.48,67.8742,0,40,68,2.28,27,8.97
2023,MA,2104800,56.47,72.9581,100,61.54,80,9.91,85,4.51
2023,MA,2108900,24.14,70.7318,0,36.84,3,3.33,59,6.07
2023,MA,2109270,23.46,62.2738,0,42.13,9,0.3,63,3.58
2023,MA,2109304,30.28,74.5404,0,51.99,48,0.82,61,7.93
2023,PI,2201176,30.08,81.5045,0,67.81,3,2.01,35,5.21
2023,PI,2202174,19.23,50.1762,0,27.6,2,5.41,53,8.42
2023,PI,2210383,33.94,75.6354,0,53.35,60,1.03,79,18.36
